Reference,Status,Survey title,Source title,Survey authors,Source authors,Survey year,Source dates,Survey venue,Source venue,Source URL,Link status,Notes
144,differences,Check yourself before you wreck yourself: Selectively quitting improves llm agent safety,Check Yourself Before You Wreck Yourself: Selectively Quitting Improves LLM Agent Safety,"Vamshi Krishna Bonagiri, Ponnurangam Kumaraguru, Khanh Xuan Nguyen, and Benjamin Plaut",Vamshi Krishna Bonagiri; Ponnurangam Kumaragurum; Khanh Nguyen; Benjamin Plaut,2025,2025/10/18; 2026/06/26,"ArXiv, abs/2510.16492, 2025.",arXiv preprint,https://arxiv.org/abs/2510.16492,reachable,Source name forms differ for: Ponnurangam Kumaraguru. This may include spelling errors or author name variants; the source author list is shown separately.
145,differences,Harnessing uncertainty: Entropy-modulated policy gradients for long-horizon llm agents,Harnessing Uncertainty: Entropy-Modulated Policy Gradients for Long-Horizon LLM Agents,"Jiawei Wang, Jiacai Liu, Yu Fu, Yingru Li, Xintao Wang, Yuan Lin, Yu Yue, Lin Zhang, Yang Wang, and Ke Wang",Jiawei Wang; Jiacai Liu; Yuqian Fu; Yingru Li; Xintao Wang; Yuan Lin; Yu Yue; Lin Zhang; Yang Wang; Ke Wang,2025,2025/09/11; 2025/09/11,"ArXiv, abs/2509.09265, 2025.",arXiv preprint,https://arxiv.org/abs/2509.09265,reachable,Source name forms differ for: Yu Fu. This may include spelling errors or author name variants; the source author list is shown separately.
146,matched,Rethinking the role of entropy in optimizing tool-use behaviors for large language model agents,Rethinking the Role of Entropy in Optimizing Tool-Use Behaviors for Large Language Model Agents,"Zeping Li, Hongru Wang, Yiwen Zhao, Guanhua Chen, Yixia Li, Keyang Chen, Yixin Cao, Guangnan Ye, Hongfeng Chai, and Zhenfei Yin",Zeping Li; Hongru Wang; Yiwen Zhao; Guanhua Chen; Yixia Li; Keyang Chen; Yixin Cao; Guangnan Ye; Hongfeng Chai; Zhenfei Yin,2026,2026/02/02; 2026/03/24,"ArXiv, abs/2602.02050, 2026.",arXiv preprint,https://arxiv.org/abs/2602.02050,reachable,
147,matched,Rest: Reshaping token-level policy gradients for tool-use large language models,ResT: Reshaping Token-Level Policy Gradients for Tool-Use Large Language Models,"Zihan Lin, Xiaohan Wang, Jie Cao, Jiajun Chai, Guojun Yin, Wei Lin, and Ran He",Zihan Lin; Xiaohan Wang; Jie Cao; Jiajun Chai; Guojun Yin; Wei Lin; Ran He,2025,2025/09/26; 2026/02/04,"ArXiv, abs/2509.21826, 2025.",arXiv preprint,https://arxiv.org/abs/2509.21826,reachable,
148,matched,Building coding agents via entropy-enhanced multi-turn preference optimization,Building Coding Agents via Entropy-Enhanced Multi-Turn Preference Optimization,"Jiahao Yu, Zelei Cheng, Xian Wu, and Xinyu Xing",Jiahao Yu; Zelei Cheng; Xian Wu; Xinyu Xing,2025,2025/09/15; 2026/02/04,"ArXiv, abs/2509.12434, 2025.",arXiv preprint,https://arxiv.org/abs/2509.12434,reachable,
149,differences,Epo: Entropy-regularized policy optimization for llm agents reinforcement learning,EPO: Entropy-regularized Policy Optimization for LLM Agents Reinforcement Learning,"Wujiang Xu, Wentian Zhao, Zhenting Wang, Yu-Jhe Li, Can Jin, Mingyu Jin, Kai Mei, Kun Wang, and Dimitris N. Metaxas",Wujiang Xu; Wentian Zhao; Zhenting Wang; Yu-Jhe Li; Can Jin; Mingyu Jin; Kai Mei; Kun Wan; Dimitris N. Metaxas,2025,2025/09/26; 2026/02/10,"ArXiv, abs/2509.22576, 2025.",arXiv preprint,https://arxiv.org/abs/2509.22576,reachable,Source name forms differ for: Kun Wang. This may include spelling errors or author name variants; the source author list is shown separately.
150,differences,"Learn the ropes, then trust the wins: Self-imitation with progressive exploration for agentic reinforcement learning","Learn the Ropes, Then Trust the Wins: Self-imitation with Progressive Exploration for Agentic Reinforcement Learning","Yulei Qin, Xiaoyu Tan, Zhengbao He, Gang Li, Haojia Lin, Zongyi Li, Zihan Xu, Yuchen Shi, Siqi Cai, Renting Rui, Shaofei Cai, Yuzheng Cai, Xuan Zhang, Shengyong Ye, Ke Li, and Xing Sun",Yulei Qin; Xiaoyu Tan; Zhengbao He; Gang Li; Haojia Lin; Zongyi Li; Zihan Xu; Yuchen Shi; Siqi Cai; Renting Rui; Shaofei Cai; Yuzheng Cai; Xuan Zhang; Sheng Ye; Ke Li; Xing Sun,2025,2025/09/26; 2025/12/07,"ArXiv, abs/2509.22601, 2025.",arXiv preprint,https://arxiv.org/abs/2509.22601,reachable,Source name forms differ for: Shengyong Ye. This may include spelling errors or author name variants; the source author list is shown separately.
151,matched,Rapo: Expanding exploration for llm agents via retrieval-augmented policy optimization,RAPO: Expanding Exploration for LLM Agents via Retrieval-Augmented Policy Optimization,"Siwei Zhang, Yun Xiong, Xi Chen, Zian Jia, Renhong Huang, Jiarong Xu, and Jiawei Zhang",Siwei Zhang; Yun Xiong; Xi Chen; Zi'an Jia; Renhong Huang; Jiarong Xu; Jiawei Zhang,2026,2026/03/03; 2026/03/03,"ArXiv, abs/2603.03078, 2026.",arXiv preprint,https://arxiv.org/abs/2603.03078,reachable,
152,matched,Seed-grpo: Semantic entropy enhanced grpo for uncertainty-aware policy optimization,SEED-GRPO: Semantic Entropy Enhanced GRPO for Uncertainty-Aware Policy Optimization,Minghan Chen et al,Minghan Chen; Guikun Chen; Wenguan Wang; Yi Yang,2025,2025/05/18; 2025/05/18,"arXiv preprint arXiv:2505.12346, 2025.",arXiv preprint,https://arxiv.org/abs/2505.12346,reachable,
153,matched,Optimizing agentic reasoning with retrieval via synthetic semantic information gain reward,Optimizing Agentic Reasoning with Retrieval via Synthetic Semantic Information Gain Reward,"Senkang Hu, Yong Dai, Yuzhi Zhao, Yihang Tao, Yu Guo, Zhengru Fang, Sam Tak Wu Kwong, and Yuguang Fang",Senkang Hu; Yong Dai; Yuzhi Zhao; Yihang Tao; Yu Guo; Zhengru Fang; Sam Tak Wu Kwong; Yuguang Fang,2026,2026/01/31; 2026/06/11,"ArXiv, abs/2602.00845, 2026.",arXiv preprint,https://arxiv.org/abs/2602.00845,reachable,
154,differences,Aem: Adaptive entropy modulation for multi-turn agentic reinforcement learning,AEM: Adaptive Entropy Modulation for Multi-Turn Agentic Reinforcement Learning,"Hao-Dong Zhao, Songlin Zhou, Yuxin Zhang, Stephen S.-T. Yau, Wenyu Zhang, Lun Tian, Tianshun Zhu, Yifeng Huang, Yuchen Zeng, Jing Gu, Daxiang Dong, and Jianmin Wu",Haotian Zhao; Songlin Zhou; Yuxin Zhang; Stephen S. -T. Yau; Wenyu Zhang; Lun Tian; Tianshu Zhu; Yifeng Huang; Yucheng Zeng; Jingnan Gu; Daxiang Dong; Jianmin Wu,2026,2026/05/01; 2026/05/08,2026.,arXiv preprint,https://arxiv.org/abs/2605.00425,reachable,Source name forms differ for: Hao-Dong Zhao; Tianshun Zhu; Yuchen Zeng; Jing Gu. This may include spelling errors or author name variants; the source author list is shown separately.
155,matched,Refine and align: Confidence calibration through multi-agent interaction in vqa,Refine and Align: Confidence Calibration through Multi-Agent Interaction in VQA,"Ayush Pandey, Jai Bardhan, Ishita Jain, Ramya Hebbalaguppe, Rohan Raju Dhanakshirur, and Lovekesh Vig",Ayush Pandey; Jai Bardhan; Ishita Jain; Ramya S Hebbalaguppe; Rohan Raju Dhanakshirur; Lovekesh Vig,2025,2025/11/14; 2025/11/14,"ArXiv, abs/2511.11169, 2025.",arXiv preprint,https://arxiv.org/abs/2511.11169,reachable,
156,matched,Consistent paths lead to truth: Self-rewarding reinforcement learning for llm reasoning,Consistent Paths Lead to Truth: Self-Rewarding Reinforcement Learning for LLM Reasoning,Kongcheng Zhang et al,Kongcheng Zhang; Qi Yao; Shunyu Liu; Yingjie Wang; Baisheng Lai; Jieping Ye; Mingli Song; Dacheng Tao,2025,2025/06/10; 2025/06/10,"arXiv preprint arXiv:2506.08745, 2025.",arXiv preprint,https://arxiv.org/abs/2506.08745,reachable,
157,matched,Agent-brace: Decoupling beliefs from actions in long-horizon tasks via verbalized state uncertainty,Agent-BRACE: Decoupling Beliefs from Actions in Long-Horizon Tasks via Verbalized State Uncertainty,"Joykirat Singh, Zaid Khan, Archiki Prasad, Justin Chih-Yao Chen, Akshay Nambi, Hyunji Lee, Elias Stengel-Eskin, and Mohit Bansal",Joykirat Singh; Zaid Khan; Archiki Prasad; Justin Chih-Yao Chen; Akshay Nambi; Hyunji Lee; Elias Stengel-Eskin; Mohit Bansal,2026,2026/05/12; 2026/05/12,"arXiv preprint arXiv:2605.11436, 2026.",arXiv preprint,https://arxiv.org/abs/2605.11436,reachable,
158,matched,Saup: Situation awareness uncertainty propagation on llm agent,SAUP: Situation Awareness Uncertainty Propagation on LLM Agent,"Qiwei Zhao, Xujiang Zhao, Yanchi Liu, Wei Cheng, Yiyou Sun, Mika Oishi, Takao Osaki, Katsushi Matsuda, Huaxiu Yao, and Haifeng Chen",Qiwei Zhao; Xujiang Zhao; Yanchi Liu; Wei Cheng; Yiyou Sun; Mika Oishi; Takao Osaki; Katsushi Matsuda; Huaxiu Yao; Haifeng Chen,2024,2024/12/02; 2024/12/02,"ArXiv, abs/2412.01033, 2024.",arXiv preprint,https://arxiv.org/abs/2412.01033,reachable,
159,differences,Aleatoric and epistemic uncertainty in machine learning: an introduction to concepts and methods,Aleatoric and epistemic uncertainty in machine learning: an introduction to concepts and methods,Eyke Hüllermeier and Willem Waegeman,Eyke Hüllermeier; Willem Waegeman,2019,2021/03; 2021/03/08; 2021-03-08,"Machine Learning, 110:457 – 506, 2019.",Machine Learning,https://doi.org/10.1007/s10994-021-05946-3,reachable,Survey year: 2019. Selected source date year(s): 2021. Preprint and publication dates must be cited as separate versions.
160,differences,Language models (mostly) know what they know,Language Models (Mostly) Know What They Know,"Saurav Kadavath, Tom Conerly, Amanda Askell, Thomas Henighan, Dawn Drain, Ethan Perez, Nicholas Schiefer, Zachary Dodds, Nova Dassarma, Eli Tran-Johnson, Scott Johnston, Sheer El- Showk, Andy Jones, Nelson Elhage, Tristan Hume, Anna Chen, Yuntao Bai, Sam Bowman, Stanislav Fort, Deep Ganguli, Danny Hernandez, Josh Jacobson, John Kernion, Shauna Kravec, Liane Lovitt, Kamal Ndousse, Catherine Olsson, Sam Ringer, Dario Amodei, Tom B. Brown, Jack Clark, Nicholas Joseph, Benjamin Mann, Sam McCandlish, Chris Olah, and Jared Kaplan",Saurav Kadavath; Tom Conerly; Amanda Askell; Tom Henighan; Dawn Drain; Ethan Perez; Nicholas Schiefer; Zac Hatfield-Dodds; Nova DasSarma; Eli Tran-Johnson; Scott Johnston; Sheer El-Showk; Andy Jones; Nelson Elhage; Tristan Hume; Anna Chen; Yuntao Bai; Sam Bowman; Stanislav Fort; Deep Ganguli; Danny Hernandez; Josh Jacobson; Jackson Kernion; Shauna Kravec; Liane Lovitt; Kamal Ndousse; Catherine Olsson; Sam Ringer; Dario Amodei; Tom Brown; Jack Clark; Nicholas Joseph; Ben Mann; Sam McCandlish; Chris Olah; Jared Kaplan,2022,2022/07/11; 2022/11/21,"ArXiv, abs/2207.05221, 2022.",arXiv preprint,https://arxiv.org/abs/2207.05221,reachable,Source name forms differ for: Thomas Henighan; Zachary Dodds; John Kernion; Benjamin Mann. This may include spelling errors or author name variants; the source author list is shown separately.
161,matched,Ethics guidelines for trustworthy ai,Ethics Guidelines for Trustworthy AI,Michel Cannarsa,Michel Cannarsa,2021,2021-11-30; 2021-11-30,"The Cambridge Handbook of Lawyering in the Digital Age, 2021.",The Cambridge Handbook of Lawyering in the Digital Age,https://doi.org/10.1017/9781108936040.022,reachable,
162,differences,Artificial intelligence risk management framework (ai rmf 1.0),Artificial Intelligence Risk Management Framework (AI RMF 1.0),"AI Nist, Secretary Gina M. Raimondo, and Laurie E. Locascio",Elham Tabassi,2023,2023-01-26T07:00-05:00,2023.,,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10,reachable,NIST identifies Elham Tabassi as the report author. The survey lists NIST and government officials instead. The 2023 AI RMF 1.0 is DOI 10.6028/NIST.AI.100-1; a same-title 2026 revision is a different record.
163,differences,Trustworthy ai: A computational perspective,Trustworthy AI: A Computational Perspective,"Haochen Liu, Yiqi Wang, Wenqi Fan, Xiaorui Liu, Yaxin Li, Shaili Jain, Anil K. Jain, and Jiliang Tang",Haochen Liu; Yiqi Wang; Wenqi Fan; Xiaorui Liu; Yaxin Li; Shaili Jain; Yunhao Liu; Anil Jain; Jiliang Tang,2021,2022-11-9; 2023-2-28; 2022-11-9,"ACM Transactions on Intelligent Systems and Technology, 14:1 – 59, 2021.",ACM Transactions on Intelligent Systems and Technology,https://doi.org/10.1145/3546872,metadata-confirmed; publisher may restrict automated access,"The source lists 9 authors; the survey names 8 without et al. This can reflect a publication-version change. | Survey year: 2021. Selected source date year(s): 2022, 2023. Preprint and publication dates must be cited as separate versions."
164,matched,On calibration of modern neural networks,On Calibration of Modern Neural Networks,"Chuan Guo, Geoff Pleiss, Yu Sun, and Kilian Q. Weinberger",Chuan Guo; Geoff Pleiss; Yu Sun; Kilian Q. Weinberger,2017,2017/06/14; 2017/08/03,"ArXiv, abs/1706.04599, 2017.",arXiv preprint,https://arxiv.org/abs/1706.04599,reachable,
165,matched,A baseline for detecting misclassified and out-of-distribution examples in neural networks,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,Dan Hendrycks and Kevin Gimpel,Dan Hendrycks; Kevin Gimpel,2016,2016/10/07; 2018/10/03,"ArXiv, abs/1610.02136, 2016.",arXiv preprint,https://arxiv.org/abs/1610.02136,reachable,
166,differences,Simple and scalable predictive uncertainty estimation using deep ensembles,Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,"Balaji Lakshminarayanan, Alexander Pritzel, and Charles Blundell",Balaji Lakshminarayanan; Alexander Pritzel; Charles Blundell,2016,2017,"InNeural Information Processing Systems, 2016.",Advances in Neural Information Processing Systems,https://papers.neurips.cc/paper_files/paper/2017/hash/9ef2ed4b7fd2c810847ffa5fa85bce38-Abstract.html,reachable,Survey year: 2016. Selected source date year(s): 2017. Preprint and publication dates must be cited as separate versions.
167,matched,Selective classification for deep neural networks,Selective Classification for Deep Neural Networks,Yonatan Geifman and Ran El-Yaniv,Yonatan Geifman; Ran El-Yaniv,2017,2017/05/23; 2017/06/01,"ArXiv, abs/1705.08500, 2017.",arXiv preprint,https://arxiv.org/abs/1705.08500,reachable,
168,matched,Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation,Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation,"Lorenz Kuhn, Yarin Gal, and Sebastian Farquhar",Lorenz Kuhn; Yarin Gal; Sebastian Farquhar,2023,2023/02/19; 2023/04/15,"arXiv preprint arXiv:2302.09664, 2023.",arXiv preprint,https://arxiv.org/abs/2302.09664,reachable,
169,matched,Can llms express their uncertainty. An empirical evaluation of confidence elicitation in LLMs,Can LLMs Express Their Uncertainty? An Empirical Evaluation of Confidence Elicitation in LLMs,"Miao Xiong, Zhiyuan Hu, Xinyang Lu, Yifei Li, Jie Fu, Junxian He, and Bryan Hooi",Miao Xiong; Zhiyuan Hu; Xinyang Lu; Yifei Li; Jie Fu; Junxian He; Bryan Hooi,2024,2023/06/22; 2024/03/17,"arXiv, 2306, 2024.",arXiv preprint,https://arxiv.org/abs/2306.13063,reachable,
170,matched,Reward model ensembles help mitigate overoptimization,Reward Model Ensembles Help Mitigate Overoptimization,"Thomas Coste, Usman Anwar, Robert Kirk, and David Krueger",Thomas Coste; Usman Anwar; Robert Kirk; David Krueger,2023,2023/10/04; 2024/03/10,"arXiv preprint arXiv:2310.02743, 2023.",arXiv preprint,https://arxiv.org/abs/2310.02743,reachable,
171,matched,Detecting hallucinations in large language models using semantic entropy,Detecting hallucinations in large language models using semantic entropy,"Sebastian Farquhar, Jannik Kossen, Lorenz Kuhn, and Yarin Gal",Sebastian Farquhar; Jannik Kossen; Lorenz Kuhn; Yarin Gal,2024,2024/06; 2024/06/19; 2024-06-19,"Nature, 630(8017):625–630, 2024.",Nature,https://doi.org/10.1038/s41586-024-07421-0,reachable,
172,matched,Kernel language entropy: Fine-grained uncertainty quantification for llms from semantic similarities,Kernel Language Entropy: Fine-grained Uncertainty Quantification for LLMs from Semantic Similarities,"Alexander Nikitin, Jannik Kossen, Yarin Gal, and Pekka Marttinen",Alexander Nikitin; Jannik Kossen; Yarin Gal; Pekka Marttinen,2024,2024; 2024,"Advances in Neural Information Processing Systems, 37:8901–8929, 2024.",Advances in Neural Information Processing Systems 37,https://doi.org/10.52202/079017-0283,reachable,
173,matched,On verbalized confidence scores for llms,On Verbalized Confidence Scores for LLMs,"Daniel Yang, Yao-Hung Hubert Tsai, and Makoto Yamada",Daniel Yang; Yao-Hung Hubert Tsai; Makoto Yamada,2024,2024/12/19; 2026/05/05,"arXiv preprint arXiv:2412.14737, 2024.",arXiv preprint,https://arxiv.org/abs/2412.14737,reachable,
174,matched,Selfcheckgpt: Zero-resource black-box hallucination detection for generative large language models,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,"Potsawee Manakul, Adian Liusie, and Mark John Francis Gales",Potsawee Manakul; Adian Liusie; Mark J. F. Gales,2023,2023/03/15; 2023/10/11,"ArXiv, abs/2303.08896, 2023.",arXiv preprint,https://arxiv.org/abs/2303.08896,reachable,
175,matched,Black-box uncertainty quantification method for llm-as-a-judge,Black-box Uncertainty Quantification Method for LLM-as-a-Judge,"Nico Wagner, Michael Desmond, Rahul Nair, Zahra Ashktorab, Elizabeth M. Daly, Qian Pan, Martín Santillán Cooper, James M. Johnson, and Werner Geyer",Nico Wagner; Michael Desmond; Rahul Nair; Zahra Ashktorab; Elizabeth M. Daly; Qian Pan; Martín Santillán Cooper; James M. Johnson; Werner Geyer,2024,2024/10/15; 2024/10/15,"ArXiv, abs/2410.11594, 2024.",arXiv preprint,https://arxiv.org/abs/2410.11594,reachable,
176,matched,Strength in numbers: Estimating confidence of large language models by prompt agreement,Strength in Numbers: Estimating Confidence of Large Language Models by Prompt Agreement,"Gwenyth Portillo Wightman, Alexandra Delucia, and Mark Dredze",Gwenyth Portillo Wightman; Alexandra DeLucia; Mark Dredze,2023,2023/7,"InProceedings of the 3rd Workshop on Trustworthy Natural Language Processing (TrustNLP 2023), pages 326–362, 2023.",Proceedings of the 3rd Workshop on Trustworthy Natural Language Processing (TrustNLP 2023),https://doi.org/10.18653/v1/2023.trustnlp-1.28,reachable,
177,matched,Self-consistency boosts calibration for math reasoning,Self-Consistency Boosts Calibration for Math Reasoning,"Ante Wang, Linfeng Song, Ye Tian, Baolin Peng, Lifeng Jin, Haitao Mi, Jinsong Su, and Dong Yu",Ante Wang; Linfeng Song; Ye Tian; Baolin Peng; Lifeng Jin; Haitao Mi; Jinsong Su; Dong Yu (于东),2024,2024/11,"InFindings of the Association for Computational Linguistics: EMNLP 2024, pages 6023–6029, 2024.",Findings of the Association for Computational Linguistics: EMNLP 2024,https://doi.org/10.18653/v1/2024.findings-emnlp.349,reachable,
178,matched,Calibrating large language models with sample consistency,Calibrating Large Language Models with Sample Consistency,"Qing Lyu, Kumar Shridhar, Chaitanya Malaviya, Li Zhang, Yanai Elazar, Niket Tandon, Marianna Apidianaki, Mrinmaya Sachan, and Chris Callison-Burch",Qing Lyu; Kumar Shridhar; Chaitanya Malaviya; Li Zhang; Yanai Elazar; Niket Tandon; Marianna Apidianaki; Mrinmaya Sachan; Chris Callison-Burch,2025,2025-4-11; 2025-4-11,"InProceedings of the AAAI Conference on Artificial Intelligence, volume 39, pages 19260–19268, 2025.",Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v39i18.34120,reachable,
179,differences,Generating with confidence: Uncertainty quantification for black-box large language models,Generating with Confidence: Uncertainty Quantification for Black-box Large Language Models,"Zhen Lin, Shubhendu Trivedi, and Jimeng Sun",Zhen Lin; Shubhendu Trivedi; Jimeng Sun,2023,2023/05/30; 2024/05/20,"Trans. Mach. Learn. Res., 2024, 2023.","Transactions on Machine Learning Research, May 2024",https://arxiv.org/abs/2305.19187,reachable,"Survey year: 2023. Confirmed publication: Transactions on Machine Learning Research, May 2024. Preprint and publication versions have different dates. | Conference and year confirmed by the conference or author publication record: Transactions on Machine Learning Research, May 2024."
180,matched,Luq: Long-text uncertainty quantification for llms,LUQ: Long-text Uncertainty Quantification for LLMs,"Caiqi Zhang, Fangyu Liu, Marco Basaldella, and Nigel Collier",Caiqi Zhang; Fangyu Liu; Marco Basaldella; Nigel Collier,2024,2024/03/29; 2024/10/04,"ArXiv, abs/2403.20279, 2024.",arXiv preprint,https://arxiv.org/abs/2403.20279,reachable,
181,matched,Graph-based uncertainty metrics for long-form language model outputs,Graph-based Uncertainty Metrics for Long-form Language Model Outputs,"Mingjian Jiang, Yangjun Ruan, Prasanna Sattigeri, Salim Roukos, and Tatsunori B. Hashimoto",Mingjian Jiang; Yangjun Ruan; Prasanna Sattigeri; Salim Roukos; Tatsunori Hashimoto,2024,2024/10/28; 2024/10/28,"ArXiv, abs/2410.20783, 2024.",arXiv preprint,https://arxiv.org/abs/2410.20783,reachable,
182,matched,Improving uncertainty quantification in large language models via semantic embeddings,Improving Uncertainty Quantification in Large Language Models via Semantic Embeddings,"Yashvir S. Grewal, Edwin V. Bonilla, and Thang Duc Bui",Yashvir S. Grewal; Edwin V. Bonilla; Thang D. Bui,2024,2024/10/30; 2024/10/30,"ArXiv, abs/2410.22685, 2024.",arXiv preprint,https://arxiv.org/abs/2410.22685,reachable,
183,matched,Beyond semantic entropy: Boosting llm uncertainty quantification with pairwise semantic similarity,Beyond Semantic Entropy: Boosting LLM Uncertainty Quantification with Pairwise Semantic Similarity,"Dang Nguyen, Ali Payani, and Baharan Mirzasoleiman",Dang Nguyen; Ali Payani; Baharan Mirzasoleiman,2025,2025/7,"InFindings of the Association for Computational Linguistics: ACL 2025, pages 4530–4540, 2025.",Findings of the Association for Computational Linguistics: ACL 2025,https://doi.org/10.18653/v1/2025.findings-acl.234,reachable,
184,matched,Semantic entropy probes: Robust and cheap hallucination detection in llms,Semantic Entropy Probes: Robust and Cheap Hallucination Detection in LLMs,"Jannik Kossen, Jiatong Han, Muhammed Razzak, Lisa Schut, Shreshth Malik, and Yarin Gal",Jannik Kossen; Jiatong Han; Muhammed Razzak; Lisa Schut; Shreshth Malik; Yarin Gal,2024,2024/06/22; 2024/06/22,"arXiv preprint arXiv:2406.15927, 2024.",arXiv preprint,https://arxiv.org/abs/2406.15927,reachable,
185,matched,Just ask for calibration: Strategies for eliciting calibrated confidence scores from language models fine-tuned with human feedback,Just Ask for Calibration: Strategies for Eliciting Calibrated Confidence Scores from Language Models Fine-Tuned with Human Feedback,"Katherine Tian, Eric Mitchell, Allan Zhou, Archit Sharma, Rafael Rafailov, Huaxiu Yao, Chelsea Finn, and Christopher D Manning",Katherine Tian; Eric Mitchell; Allan Zhou; Archit Sharma; Rafael Rafailov; Huaxiu Yao; Chelsea Finn; Christopher D. Manning,2023,2023/12,"InProceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pages 5433–5442, 2023.",Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/2023.emnlp-main.330,reachable,
186,matched,Teaching models to express their uncertainty in words,Teaching Models to Express Their Uncertainty in Words,"Stephanie Lin, Jacob Hilton, and Owain Evans",Stephanie Lin; Jacob Hilton; Owain Evans,2022,2022/05/28; 2022/06/13,"arXiv preprint arXiv:2205.14334, 2022.",arXiv preprint,https://arxiv.org/abs/2205.14334,reachable,
187,matched,Reward-robust rlhf in llms,Reward-Robust RLHF in LLMs,"Yuzi Yan, Xingzhou Lou, Jialian Li, Yiping Zhang, Jian Xie, Chao Yu, Yu Wang, Dong Yan, and Yuan Shen",Yuzi Yan; Xingzhou Lou; Jialian Li; Yiping Zhang; Jian Xie; Chao Yu; Yu Wang; Dong Yan; Yuan Shen,2024,2024/09/18; 2024/10/16,"arXiv preprint arXiv:2409.15360, 2024.",arXiv preprint,https://arxiv.org/abs/2409.15360,reachable,
188,matched,Bayesian reward models for llm alignment,Bayesian Reward Models for LLM Alignment,"Adam X Yang, Maxime Robeyns, Thomas Coste, Zhengyan Shi, Jun Wang, Haitham Bou-Ammar, and Laurence Aitchison",Adam X. Yang; Maxime Robeyns; Thomas Coste; Zhengyan Shi; Jun Wang; Haitham Bou-Ammar; Laurence Aitchison,2024,2024/02/20; 2024/07/03,"arXiv preprint arXiv:2402.13210, 2024.",arXiv preprint,https://arxiv.org/abs/2402.13210,reachable,
189,matched,Scalable ensembling for mitigating reward overoptimisation,Scalable Ensembling For Mitigating Reward Overoptimisation,"Ahmed M Ahmed, Rafael Rafailov, Stepan Sharkov, Xuechen Li, and Sanmi Koyejo",Ahmed M. Ahmed; Rafael Rafailov; Stepan Sharkov; Xuechen Li; Sanmi Koyejo,2024,2024/06/03; 2024/06/18,"arXiv preprint arXiv:2406.01013, 2024.",arXiv preprint,https://arxiv.org/abs/2406.01013,reachable,
190,differences,Planu: Large language model reasoning through planning under uncertainty,PlanU: Large Language Model Reasoning through Planning under Uncertainty,"Ziwei Deng, Mian Deng, Chenjing Liang, Zeming Gao, Chennan Ma, Chenxing Lin, Haipeng Zhang, Songzhu Mei, Siqi Shen, and Cheng Wang",Ziwei Deng; Mian Deng; Chenjing Liang; Zeming Gao; Chennan Ma; Chenxing Lin; Haipeng Zhang; Songzhu Mei; Siqi Shen; Cheng Wang,2026,2026-04-23,"Advances in Neural Information Processing Systems, 38:142636–142673, 2026.",Advances in Neural Information Processing Systems,https://proceedings.neurips.cc/paper_files/paper/2025/hash/d1ebc73cd4c88866b97a6851ece739d1-Abstract-Conference.html,reachable,"Official NeurIPS page: NeurIPS 2025, volume 38, pages 142636–142673, webpage publication date 2026-04-23. Crossref reports 2025 and pages 158300–158337. The survey pages agree with the official proceedings; its 2026 year agrees with the webpage publication date. Source disagreement is retained, not silently corrected."
191,differences,Do llms estimate uncertainty well in instruction-following?,Do LLMs estimate uncertainty well in instruction-following?,"Juyeon Heo, Miao Xiong, Christina Heinze-Deml, and Jaya Narain",Juyeon Heo; Miao Xiong; Christina Heinze-Deml; Jaya Narain,2025,2024/10/18; 2025/03/28,"InInternational Conference on Learning Representations, volume 2025, pages 95951–95974, 2025.",ICLR 2025,https://arxiv.org/abs/2410.14582,reachable,Conference and year confirmed by the conference or author publication record: ICLR 2025. | The ICLR 2025 published proceedings table of contents gives start page 45315 for this title and author list. The survey gives 95951–95974. The start-page records disagree; the survey pagination should be reviewed.
192,matched,What uncertainties do we need in bayesian deep learning for computer vision?,What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision?,Alex Kendall and Yarin Gal,Alex Kendall; Yarin Gal,2017,2017,"Advances in neural information processing systems, 30, 2017.",Advances in Neural Information Processing Systems,https://proceedings.neurips.cc/paper/2017/hash/2650d6089a6d640c5e85b2b88265dc2b-Abstract.html,reachable,
193,matched,Ambigqa: Answering ambiguous open-domain questions,AmbigQA: Answering Ambiguous Open-domain Questions,"Sewon Min, Julian Michael, Hannaneh Hajishirzi, and Luke Zettlemoyer",Sewon Min; Julian Michael; Hannaneh Hajishirzi; Luke Zettlemoyer,2020,2020/11,"InProceedings of the 2020 conference on empirical methods in natural language processing (EMNLP), pages 5783–5797, 2020.",Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),https://doi.org/10.18653/v1/2020.emnlp-main.466,reachable,
