Reference,Status,Survey title,Source title,Survey authors,Source authors,Survey year,Source dates,Survey venue,Source venue,Source URL,Link status,Notes
61,matched,Uncertainty estimation in autoregressive structured prediction,Uncertainty Estimation in Autoregressive Structured Prediction,Andrey Malinin and Mark Gales,Andrey Malinin; Mark Gales,2021,2020/02/18; 2021/02/11,,arXiv preprint,https://arxiv.org/abs/2002.07650,reachable,
62,matched,Can llms express their uncertainty? an empirical evaluation of confidence elicitation in llms,Can LLMs Express Their Uncertainty? An Empirical Evaluation of Confidence Elicitation in LLMs,"Miao Xiong, Zhiyuan Hu, Xinyang Lu, Yifei Li, Jie Fu, Junxian He, and Bryan Hooi",Miao Xiong; Zhiyuan Hu; Xinyang Lu; Yifei Li; Jie Fu; Junxian He; Bryan Hooi,2023,2023/06/22; 2024/03/17,"arXiv preprint arXiv:2306.13063, 2023.",arXiv preprint,https://arxiv.org/abs/2306.13063,reachable,
63,matched,Language models (mostly) know what they know,Language Models (Mostly) Know What They Know,"Saurav Kadavath, Tom Conerly, Amanda Askell, Tom Henighan, Dawn Drain, Ethan Perez, Nicholas Schiefer, Zac Hatfield-Dodds, Nova DasSarma, Eli Tran-Johnson, et al",Saurav Kadavath; Tom Conerly; Amanda Askell; Tom Henighan; Dawn Drain; Ethan Perez; Nicholas Schiefer; Zac Hatfield-Dodds; Nova DasSarma; Eli Tran-Johnson; Scott Johnston; Sheer El-Showk; Andy Jones; Nelson Elhage; Tristan Hume; Anna Chen; Yuntao Bai; Sam Bowman; Stanislav Fort; Deep Ganguli; Danny Hernandez; Josh Jacobson; Jackson Kernion; Shauna Kravec; Liane Lovitt; Kamal Ndousse; Catherine Olsson; Sam Ringer; Dario Amodei; Tom Brown; Jack Clark; Nicholas Joseph; Ben Mann; Sam McCandlish; Chris Olah; Jared Kaplan,2022,2022/07/11; 2022/11/21,"arXiv preprint arXiv:2207.05221, 2022.",arXiv preprint,https://arxiv.org/abs/2207.05221,reachable,
64,matched,I don’t know: Explicit modeling of uncertainty with an [idk] token,I Don't Know: Explicit Modeling of Uncertainty with an [IDK] Token,"Roi Cohen, Konstantin Dobler, Eden Biran, and Gerard de Melo",Roi Cohen; Konstantin Dobler; Eden Biran; Gerard De Melo,2024,2024; 2024,"Advances in Neural Information Processing Systems, 37:10935–10958, 2024.",Advances in Neural Information Processing Systems 37,https://doi.org/10.52202/079017-0349,reachable,
65,matched,Self-consistency improves chain of thought reasoning in language models,Self-Consistency Improves Chain of Thought Reasoning in Language Models,"Xuezhi Wang, Jason Wei, Dale Schuurmans, Quoc Le, Ed Chi, Sharan Narang, Aakanksha Chowdhery, and Denny Zhou",Xuezhi Wang; Jason Wei; Dale Schuurmans; Quoc Le; Ed Chi; Sharan Narang; Aakanksha Chowdhery; Denny Zhou,2022,2022/03/21; 2023/03/07,"arXiv preprint arXiv:2203.11171, 2022.",arXiv preprint,https://arxiv.org/abs/2203.11171,reachable,
66,matched,Selfcheckgpt: Zero-resource black-box hallucination detection for generative large language models,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,"Potsawee Manakul, Adian Liusie, and Mark Gales",Potsawee Manakul; Adian Liusie; Mark Gales,2023,2023/12,"InProceedings of the 2023 conference on empirical methods in natural language processing, pages 9004–9017, 2023.",Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing,https://doi.org/10.18653/v1/2023.emnlp-main.557,reachable,
67,matched,Systematic evaluation of uncertainty estimation methods in large language models,Systematic Evaluation of Uncertainty Estimation Methods in Large Language Models,"Christian Hobelsberger, Theresa Winner, Andreas Nawroth, Oliver Mitevski, and Anna-Carolina Haensch",Christian Hobelsberger; Theresa Winner; Andreas Nawroth; Oliver Mitevski; Anna-Carolina Haensch,2025,2025/10/23; 2025/10/23,"arXiv preprint arXiv:2510.20460, 2025.",arXiv preprint,https://arxiv.org/abs/2510.20460,reachable,
68,matched,Self-consistency of large language models under ambiguity,Self-Consistency of Large Language Models under Ambiguity,"Henning Bartsch, Ole Jorgensen, Domenic Rosati, Jason Hoelscher-Obermaier, and Jacob Pfau",Henning Bartsch; Ole Jorgensen; Domenic Rosati; Jason Hoelscher-Obermaier; Jacob Pfau,2023,2023/12,"InProceedings of the 6th BlackboxNLP Workshop: Analyzing and Interpreting Neural Networks for NLP, pages 89–105, 2023.",Proceedings of the 6th BlackboxNLP Workshop: Analyzing and Interpreting Neural Networks for NLP,https://doi.org/10.18653/v1/2023.blackboxnlp-1.7,reachable,
69,matched,Uncertainty-penalized reinforcement learning from human feedback with diverse reward lora ensembles,Uncertainty-Penalized Reinforcement Learning from Human Feedback with Diverse Reward LoRA Ensembles,"Yuanzhao Zhai, Han Zhang, Yu Lei, Yue Yu, Kele Xu, Dawei Feng, Bo Ding, and Huaimin Wang",Yuanzhao Zhai; Han Zhang; Yu Lei; Yue Yu; Kele Xu; Dawei Feng; Bo Ding; Huaimin Wang,2023,2023/12/30; 2023/12/30,"arXiv preprint arXiv:2401.00243, 2023.",arXiv preprint,https://arxiv.org/abs/2401.00243,reachable,
70,matched,Towards reliable alignment: Uncertainty-aware rlhf,Towards Reliable Alignment: Uncertainty-aware RLHF,Debangshu Banerjee and Aditya Gopalan,Debangshu Banerjee; Aditya Gopalan,2024,2024/10/31; 2024/10/31,"arXiv preprint arXiv:2410.23726, 2024.",arXiv preprint,https://arxiv.org/abs/2410.23726,reachable,
